window_index,ticker,window_start,window_end,feed_queries,rss_rows_recorded,queries_attempted,articles_saved,independent_articles,directional_raw_observations,raw_match_rate,directional_excess_observations,excess_match_rate,average_return_20d,average_excess_return_20d,what_went_wrong
1,ARCT,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
1,ASTS,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out
1,BBAI,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || Skipped because GlobeNewswire reached source failure cap (3) || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out
1,CRSP,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
1,IONQ,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
1,RDW,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
1,RKLB,2025-11-21,2025-11-28,8,18,18,1,1,0,,0,,81.1737,78.596,No RSS entries found || Skipped because ticker/company was not detected || signal below directional threshold | low data quality: title-only body | uncertain classification | return base uses 1 trading-day entry lag | sector/profile context skipped for faster historical validation || RSS feed failed: The read operation timed out || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because article date was outside requested window
1,RXRX,2025-11-21,2025-11-28,8,8,8,1,1,1,0.0,1,0.0,-3.6281,-5.4922,RSS feed failed: The read operation timed out || No RSS entries found || raw 20d return contradicted signal thesis | excess 20d return contradicted signal thesis || No RSS entries found || No RSS entries found || No RSS entries found || No RSS entries found || Skipped because ticker/company was not detected
1,SOUN,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out || RSS feed failed: The read operation timed out
1,UUUU,2025-11-21,2025-11-28,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,ARCT,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,ASTS,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,BBAI,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,CRSP,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,IONQ,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,RDW,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,RKLB,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,RXRX,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,SOUN,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,UUUU,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,ARCT,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,ASTS,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,BBAI,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,CRSP,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,IONQ,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,RDW,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,RKLB,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,RXRX,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,SOUN,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,UUUU,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,ARCT,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,ASTS,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,BBAI,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,CRSP,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,IONQ,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,RDW,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,RKLB,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,RXRX,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,SOUN,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
4,UUUU,2026-01-17,2026-01-24,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,ARCT,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,ASTS,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,BBAI,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,CRSP,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,IONQ,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,RDW,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,RKLB,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,RXRX,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,SOUN,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
5,UUUU,2026-02-05,2026-02-12,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
